user_id,x_m,y_m,z_m
256,-777.529089723,-4409.586590771,-1.573458473
257,-260.349958763,-4470.036161582,-1.573458473
258,260.349958763,-4470.036161582,-1.573458473
259,777.529089723,-4409.586590771,-1.573458473
260,1284.193473583,-4289.504925895,-1.573458473
261,1773.491343727,-4111.415065473,-1.573458473
262,2238.805785842,-3877.725369357,-1.573458473
263,2673.844220339,-3591.596089796,-1.573458473
264,3072.723498692,-3256.896634445,-1.573458473
265,3430.049462933,-2878.153239267,-1.573458473
266,3740.989892383,-2460.487758954,-1.573458473
267,4001.339851146,-2009.548402628,-1.573458473
268,4207.578552657,-1531.433351504,-1.573458473
269,4356.916972276,-1032.608291450,-1.573458473
270,4447.335564065,-519.818975678,-1.573458473
271,4975.123872465,0.000000000,-1.942541306
272,4947.869623336,520.042052955,-1.942541306
273,4866.405479205,1034.386416352,-1.942541306
274,4731.623978283,1537.397825712,-1.942541306
275,4545.001814900,2023.565182773,-1.942541306
276,4308.583660529,2487.561936232,-1.942541306
277,4024.959761945,2924.304440563,-1.942541306
278,3697.237561931,3329.007653493,-1.942541306
279,3329.007653493,3697.237561931,-1.942541306
280,2924.304440563,4024.959761945,-1.942541306
281,2487.561936232,4308.583660529,-1.942541306
282,2023.565182773,4545.001814900,-1.942541306
283,1537.397825712,4731.623978283,-1.942541306
284,1034.386416352,4866.405479205,-1.942541306
285,520.042052955,4947.869623336,-1.942541306
286,0.000000000,4975.123872465,-1.942541306
287,-520.042052955,4947.869623336,-1.942541306
288,-1034.386416352,4866.405479205,-1.942541306
289,-1537.397825712,4731.623978283,-1.942541306
290,-2023.565182773,4545.001814900,-1.942541306
291,-2487.561936232,4308.583660529,-1.942541306
292,-2924.304440563,4024.959761945,-1.942541306
293,-3329.007653493,3697.237561931,-1.942541306
294,-3697.237561931,3329.007653493,-1.942541306
295,-4024.959761945,2924.304440563,-1.942541306
296,-4308.583660529,2487.561936232,-1.942541306
297,-4545.001814900,2023.565182773,-1.942541306
298,-4731.623978283,1537.397825712,-1.942541306
299,-4866.405479205,1034.386416352,-1.942541306
300,-4947.869623336,520.042052955,-1.942541306
301,-4975.123872465,0.000000000,-1.942541306
302,-4947.869623336,-520.042052955,-1.942541306
303,-4866.405479205,-1034.386416352,-1.942541306
304,-4731.623978283,-1537.397825712,-1.942541306
305,-4545.001814900,-2023.565182773,-1.942541306
306,-4308.583660529,-2487.561936232,-1.942541306
307,-4024.959761945,-2924.304440563,-1.942541306
308,-3697.237561931,-3329.007653493,-1.942541306
309,-3329.007653493,-3697.237561931,-1.942541306
310,-2924.304440563,-4024.959761945,-1.942541306
311,-2487.561936232,-4308.583660529,-1.942541306
312,-2023.565182773,-4545.001814900,-1.942541306
313,-1537.397825712,-4731.623978283,-1.942541306
314,-1034.386416352,-4866.405479205,-1.942541306
315,-520.042052955,-4947.869623336,-1.942541306
316,-0.000000000,-4975.123872465,-1.942541306
317,520.042052955,-4947.869623336,-1.942541306
