time_s,cell_idx,snr_mrc_dB,n_sats
31.000000,4,-20.5923,2
31.000000,5,-30.5039,2
31.000000,6,-20.5499,2
31.000000,7,-17.9183,2
31.000000,8,-15.1529,2
31.000000,9,-14.9886,2
31.000000,10,-20.0920,2
31.000000,11,-18.2970,2
31.000000,12,-15.2581,2
31.000000,13,-18.5816,2
31.000000,14,-17.7510,2
31.000000,15,-17.7406,2
31.000000,16,-18.8662,2
31.000000,17,-17.7266,2
31.000000,18,-23.1224,2
31.000000,19,-28.0619,2
31.000000,20,-21.2667,2
31.000000,21,-24.4415,2
31.000000,22,-26.3819,2
31.000000,23,-22.9392,2
31.000000,24,-27.2964,2
32.000000,0,-28.4187,2
32.000000,1,-24.1008,2
32.000000,2,-23.1784,2
32.000000,3,-23.2167,2
32.000000,4,-19.4562,2
32.000000,5,-30.0666,2
32.000000,6,-20.2415,2
32.000000,7,-18.5868,2
32.000000,8,-14.7686,2
32.000000,9,-15.6532,2
32.000000,10,-20.0488,2
32.000000,11,-17.5911,2
32.000000,12,-15.2244,2
32.000000,13,-17.2183,2
32.000000,14,-17.5030,2
32.000000,15,-17.7351,2
32.000000,16,-20.0212,2
32.000000,17,-17.7010,2
32.000000,18,-24.7444,2
32.000000,19,-27.7402,2
32.000000,20,-20.7795,2
32.000000,21,-25.3015,2
32.000000,22,-24.7609,2
32.000000,23,-22.4346,2
32.000000,24,-26.2120,2
33.000000,0,-29.2482,2
33.000000,1,-22.7849,2
33.000000,2,-22.2701,2
33.000000,3,-23.6689,2
33.000000,4,-18.7129,2
33.000000,5,-29.8467,2
33.000000,6,-20.2073,2
33.000000,7,-19.1495,2
33.000000,8,-14.7281,2
33.000000,9,-16.7816,2
33.000000,10,-20.2202,2
33.000000,11,-17.0715,2
33.000000,12,-15.2970,2
33.000000,13,-16.2569,2
33.000000,14,-17.2779,2
33.000000,15,-17.7213,2
33.000000,16,-21.5836,2
33.000000,17,-17.9564,2
33.000000,18,-25.5864,2
33.000000,19,-27.5852,2
33.000000,20,-20.6590,2
33.000000,21,-26.2102,2
33.000000,22,-23.6109,2
33.000000,23,-22.1461,2
33.000000,24,-25.1960,2
34.000000,0,-27.5874,2
34.000000,1,-21.8283,2
34.000000,2,-21.7900,2
34.000000,3,-24.2103,2
34.000000,4,-18.5415,2
34.000000,5,-29.3778,2
34.000000,6,-19.9917,2
34.000000,7,-19.6839,2
34.000000,8,-14.8674,2
34.000000,9,-18.4470,2
34.000000,10,-20.6100,2
34.000000,11,-16.6524,2
34.000000,12,-15.2983,2
34.000000,13,-15.6415,2
34.000000,14,-17.4690,2
34.000000,15,-17.6863,2
34.000000,16,-21.0943,2
34.000000,17,-18.4362,2
34.000000,18,-25.3277,2
34.000000,19,-27.2686,2
34.000000,20,-20.8460,2
34.000000,21,-27.1306,2
34.000000,22,-22.8527,2
34.000000,23,-22.1024,2
34.000000,24,-24.4293,2
35.000000,0,-26.3999,2
35.000000,1,-21.1905,2
35.000000,2,-21.3611,2
35.000000,3,-24.8143,2
35.000000,4,-18.8121,2
35.000000,5,-28.8721,2
35.000000,6,-19.8677,2
35.000000,7,-20.1612,2
35.000000,8,-14.9120,2
35.000000,9,-16.8804,2
35.000000,10,-20.8421,2
35.000000,11,-16.3394,2
35.000000,12,-15.5251,2
35.000000,13,-15.2397,2
35.000000,14,-18.0822,2
35.000000,15,-17.7254,2
35.000000,16,-20.0496,2
35.000000,17,-18.3197,2
35.000000,18,-23.8205,2
35.000000,19,-26.9348,2
35.000000,20,-21.3482,2
35.000000,21,-27.8706,2
35.000000,22,-22.4181,2
35.000000,23,-22.2552,2
35.000000,24,-23.9919,2
36.000000,0,-25.6183,2
36.000000,1,-20.8907,2
36.000000,2,-21.0995,2
36.000000,3,-25.4823,2
36.000000,4,-19.4648,2
36.000000,5,-28.3578,2
36.000000,6,-19.7169,2
36.000000,7,-20.1472,2
36.000000,8,-15.0122,2
36.000000,9,-15.7201,2
36.000000,10,-21.1083,2
36.000000,11,-16.0991,2
36.000000,12,-15.9888,2
36.000000,13,-14.9580,2
36.000000,14,-19.1612,2
36.000000,15,-17.7278,2
36.000000,16,-19.2081,2
36.000000,17,-18.3050,2
36.000000,18,-22.4352,2
36.000000,19,-26.8514,2
36.000000,20,-22.1559,2
36.000000,21,-28.2938,2
36.000000,22,-22.2703,2
